Run,Lap,Lap time,Started at,Driver,Clean,Pit in,Pit out,Track temp,Track usage,Air temperature,Cloud cover,Air density,Air pressure,Wind velocity,Wind direction,Relative humidity,Fog level,Precipitation,Track Wetness,Fuel level,Fuel used,Fuel added,Sector 1,Sector 2,Sector 3
1,0,22.589215602,2025-12-14T16:03:22Z,Lonn Ponn,0,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,16,0.06500676,0,,,22.599999999
1,1,61.35060119628906,2025-12-14T16:03:44Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,15.934993,0.4165519,0,29.994578296,12.855867781,11.699553922
1,2,51.4906005859375,2025-12-14T16:04:39Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,15.518441,0.422693,0,28.128053429,11.835919139,11.536027431
1,3,52.084598541259766,2025-12-14T16:05:30Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,15.095748,0.4147735,0,28.685879005,11.869545109,11.527909219
1,4,51.633399963378906,2025-12-14T16:06:22Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,14.680975,0.42519456,0,28.390810883,11.537610204,11.704912246
1,5,56.2760009765625,2025-12-14T16:07:14Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,14.25578,0.4350942,0,32.688448716,11.802798519,11.758752764
1,6,51.68790054321289,2025-12-14T16:08:10Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,13.820686,0.42116216,0,28.379023402,11.666582027,11.671061237
1,7,52.15639877319336,2025-12-14T16:09:02Z,Lonn Ponn,0,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,13.399524,0.43235114,0,28.097235832,12.282093435,11.770670732
1,8,51.40039825439453,2025-12-14T16:09:54Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,12.967173,0.43387163,0,28.076142973,11.729424775,11.594432251
1,9,51.51689910888672,2025-12-14T16:10:45Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,12.533301,0.4236085,0,28.085141637,11.720498479,11.71102655
1,10,51.088401794433594,2025-12-14T16:11:37Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,12.109693,0.42250606,0,27.949937333,11.59796353,11.53543247
1,11,57.90119934082031,2025-12-14T16:12:28Z,Lonn Ponn,0,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,11.687186,0.42865023,0,28.028825574,11.771888615,18.09928581
1,12,51.95100021362305,2025-12-14T16:13:26Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,11.258536,0.43963924,0,28.425982782,11.738483051,11.785534166
1,13,51.23189926147461,2025-12-14T16:14:18Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,10.818897,0.42726895,0,28.047725132,11.521173027,11.664435174
1,14,51.24169921875,2025-12-14T16:15:09Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,10.391628,0.43520463,0,28.047420439,11.721922715,11.480656845
1,15,10.510226361,2025-12-14T16:16:00Z,Lonn Ponn,0,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,9.956424,0.034156572,0,,,10.499999999
