Run,Lap,Lap time,Started at,Driver,Clean,Pit in,Pit out,Track temp,Track usage,Air temperature,Cloud cover,Air density,Air pressure,Wind velocity,Wind direction,Relative humidity,Fog level,Precipitation,Track Wetness,Fuel level,Fuel used,Fuel added,Sector 1,Sector 2,Sector 3
1,0,23.437396628,2025-12-14T12:55:31Z,Lonn Ponn,0,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,16,0.08410803,0,,,23.449999999
1,1,60.90330123901367,2025-12-14T12:55:54Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,15.915892,0.41194797,0,30.140047356,12.177523742,11.899095568
1,2,52.665199279785156,2025-12-14T12:56:48Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,15.503944,0.40636024,0,29.097487095,12.018385722,11.550793849
1,3,51.78689956665039,2025-12-14T12:57:41Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,15.097584,0.41084158,0,28.526682874,11.758786189,11.514530937
1,4,51.60649871826172,2025-12-14T12:58:33Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,14.686742,0.40418124,0,28.456020343,11.620780646,11.523199010999999
1,5,51.97079849243164,2025-12-14T12:59:24Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,14.282561,0.4104561,0,28.044330362,12.065058603,11.857277701
1,6,51.42530059814453,2025-12-14T13:00:16Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,13.872105,0.41900185,0,28.352934556,11.492470321,11.587928456
1,7,51.19810104370117,2025-12-14T13:01:08Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,13.453103,0.4145636,0,28.011614047,11.527453423,11.660932529
1,8,53.595001220703125,2025-12-14T13:01:59Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,13.03854,0.42880255,0,30.475813032,11.762040714,11.345479587
1,9,51.5255012512207,2025-12-14T13:02:52Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,12.609736,0.43221575,0,28.175351541,11.719032954,11.638948838
1,10,51.45100021362305,2025-12-14T13:03:44Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,12.177521,0.426228,0,28.296358338,11.504833565,11.648808096
1,11,54.20159912109375,2025-12-14T13:04:35Z,Lonn Ponn,0,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,11.751293,0.4237923,0,28.064220808,14.212534659,11.923244532
1,12,51.44060134887695,2025-12-14T13:05:30Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,11.327501,0.43032005,0,28.261025245,11.603014448,11.56929364
1,13,51.467899322509766,2025-12-14T13:06:21Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,10.897181,0.43721172,0,28.077888537,11.554605483,11.834172646
1,14,51.82590103149414,2025-12-14T13:07:13Z,Lonn Ponn,1,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,10.459969,0.4217851,0,28.266366062,12.01183294,11.555134331
1,15,17.824295824,2025-12-14T13:08:04Z,Lonn Ponn,0,0,0,56.111114501953125,57,26.111113,2,1.1470848,99111.05,0.89408,0,0.45000002,0,0,0,10.038184,0.09053401,0,,,17.816666666
